oa_display_name,is_prof,perceived_as_male,host_dept (; delimited if more than one),has_research_group,OpenAlex id,group_url,Notes
Jonathan D. Cohen,1.0,,,1.0,a5088141761,https://sites.google.com/view/ncclab/people?authuser=0,
Greg Michalski,1.0,,,1.0,a5047079491,https://www.eaps.purdue.edu/michalski/people/index.html,
Felix Warneken,1.0,,,1.0,a5024921128,https://sites.lsa.umich.edu/warneken/members/,
Peter D. Howe,1.0,,,1.0,a5044664261,https://peterhowe.org/lab/lab-members/,
Natalia V. Kirienko,1.0,,,1.0,a5076196713,https://kirienkolab.rice.edu/people.html,
Nandakumar S. Narayanan,1.0,,,1.0,a5082128655,https://narayanan.lab.uiowa.edu/people,
Meenakshi Dutt,1.0,,,1.0,a5075457888,http://dutt-lab.rutgers.edu/People.html,
David I. Shreiber,1.0,,,1.0,a5016394435,https://sites.rutgers.edu/david-shreiber/current-lab-members/,
Sarah Cohen,1.0,,,1.0,a5024471814,https://cohenlaboratory.web.unc.edu/people/,
Boyd M. Goodson,1.0,,,1.0,a5024471814,http://www.goodsonlab.org/GoodsonTeam.html,
Ruben Michael Ceballos,1.0,,,1.0,a5077954254,,
